symmetry,num_tiles,num_ret_tiles,rho,p,samples,seeds
6,96,120,0.472762707022,0.548138600083,7000,0|1|2|3|4
5,96,120,0.410498664071,0.579669758058,7000,0|1|2|3|4
6,12,12,0.187813958854,0.668644324911,7000,0|1|2|3|4
